work_id,title,circle,voice_actor,price,release_date,age_rating,genre
BJ02350681,サイコメトリーラブ～超能力で絶頂快感～,フロンティアワークス 音声ドラマ,内藤大樹,3300,2026-01-30,全年齢,ファンタジー
BJ02350680,人気バンド独り占めエッチ,フロンティアワークス 音声ドラマ,花簪囲ろ葉,3300,2026-01-30,全年齢,
BJ02350679,かぐや姫の愛と背徳の夜,フロンティアワークス 音声ドラマ,小尾元政,3300,2026-01-30,全年齢,
BJ02350678,レンタル彼氏～返却まで×××してあげる～,フロンティアワークス 音声ドラマ,小宅悠一,3300,2026-01-30,全年齢,
BJ02350677,ラブ★マニア～魔法のローション～,フロンティアワークス 音声ドラマ,内藤大樹,3300,2026-01-30,全年齢,ファンタジー / ツンデレ
BJ02350676,同人誌より××なイベント事情,フロンティアワークス 音声ドラマ,内藤大樹,3300,2026-01-30,全年齢,
BJ02350675,ラブ ウインター ～彼に抱かれるあったかい冬～,フロンティアワークス 音声ドラマ,淺川正寛,3300,2026-01-30,全年齢,
BJ02345012,Dramatical Eden〈超絶技巧のいけ好かない男と付き合い始めて〉【出演：冬ノ熊肉】,Cranberry,冬ノ熊肉,1650,2026-01-29,全年齢,バイノーラル/ダミヘ / 連続絶頂 / ラブラブ/あまあま / クンニ / ささやき / 中出し / 耳舐め
BJ02345011,〈共通特典付き〉Dramatical Eden〈超絶技巧のいけ好かない男と付き合い始めて〉【出演：冬ノ熊肉】,Cranberry,冬ノ熊肉,1980,2026-01-29,全年齢,バイノーラル/ダミヘ / 連続絶頂 / ラブラブ/あまあま / クンニ / ささやき / 潮吹き / 中出し / 耳舐め
BJ02338290,箱詰めCD　６　不思議の国で一緒に箱詰め,フロンティアワークス 音声ドラマ,江口拓也,2200,2026-01-28,全年齢,ファンタジー
BJ02338289,箱詰めCD　５　学校で一緒に箱詰め,フロンティアワークス 音声ドラマ,木村良平,2090,2026-01-28,全年齢,
BJ02338288,箱詰めCD　４　魔法使いと一緒に箱詰め,フロンティアワークス 音声ドラマ,下野紘,2090,2026-01-28,全年齢,ファンタジー
BJ02338287,箱詰めCD　３　お狐様と一緒に箱詰め,フロンティアワークス 音声ドラマ,森川智之,2090,2026-01-28,全年齢,妖怪
BJ02338286,箱詰めCD　２　吸血鬼と一緒に箱詰め,フロンティアワークス 音声ドラマ,三木眞一郎,2200,2026-01-28,全年齢,ファンタジー
BJ02338285,箱詰めCD　１　騎士と一緒に箱詰め,フロンティアワークス 音声ドラマ,鳥海浩輔,2090,2026-01-28,全年齢,ファンタジー
BJ02343112,相思相AIディスタンス　～ID-001 甘やかし上手なアンドロイド・ユウ～,Honey Mellow,広山和重,2530,2026-01-26,全年齢,シリーズもの / バイノーラル/ダミヘ / ロボット/アンドロイド / 純愛 / 日常/生活 / ラブラブ/あまあま
BJ02343111,相思相AIディスタンス　～ID-001 甘やかし上手なアンドロイド・ユウ～【がるまに限定特典付き】,Honey Mellow,広山和重,2860,2026-01-26,全年齢,シリーズもの / バイノーラル/ダミヘ / ロボット/アンドロイド / 純愛 / 日常/生活 / ラブラブ/あまあま
BJ02330550,【がるまに限定特典付】Melty Morning #1,ステラワース,彩和矢,2970,2026-01-23,全年齢,恋人同士 / 日常/生活 / ラブラブ/あまあま
BJ02325383,【圧倒的多幸感】仲良し夫婦～今日も世界一あなたを大好きな旦那さま～《出演：猿飛総司》,Cranberry,猿飛総司,2640,2026-01-22,全年齢,バイノーラル/ダミヘ / 連続絶頂 / ラブラブ/あまあま / クンニ / ささやき / 執着攻め / 中出し / 耳舐め
BJ02325382,〈共通特典付き〉【圧倒的多幸感】仲良し夫婦～今日も世界一あなたを大好きな旦那さま～《出演：猿飛総司》,Cranberry,猿飛総司,2970,2026-01-22,全年齢,バイノーラル/ダミヘ / 連続絶頂 / ラブラブ/あまあま / クンニ / ささやき / 執着攻め / 中出し / 耳舐め
BJ02248864,キャバレーと角砂糖 -1950- ジョン・カワグチ Gift「Tr5.5 独占欲」 CV：土門熱,ひつじぐも,土門熱,1650,2026-01-21,全年齢,バイノーラル/ダミヘ / 歴史/時代物 / 女性向け
BJ02354465,【Obey Me!ASMR】case.ベルフェゴール　～君と二人、星に願いを込めて～,Obey Me!,大西哲史,2200,2026-01-20,全年齢,ASMR / 癒し / 女性視点 / バイノーラル/ダミヘ / 俺様 / 天使/悪魔 / 恋人同士 / 日常/生活 / ファンタジー / ラブラブ/あまあま / 女性向け
BJ02225303,【特典スマホ用壁紙付き】#Sweet IRL -歌い手 樂-,ステラワース,古川慎,3300,2026-01-16,全年齢,日常/生活 / ほのぼの / ラブラブ/あまあま
BJ02347429,安眠朗読 今夜も眠らNight 夫・直寛が読む「北原白秋『日本ライン』」,安眠朗読,田丸篤志,1782,2026-01-14,全年齢,純愛 / 日常/生活 / ラブラブ/あまあま
BJ02330548,【配信限定・がるまに限定特典付】あなたがいないとダメな人 ～完璧婚約者・王華編～（出演：土門熱）,バニラレシピ,土門熱,2970,2026-01-14,全年齢,おっぱい / バイノーラル/ダミヘ / ローション / 年下攻め / 恋人同士 / 女性優位 / 同棲 / ラブラブ/あまあま / クンニ / 拘束 / 羞恥/恥辱 / 手コキ / フェラチオ / 耳舐め
BJ02322390,愛執ノ神隠シ〜鬼ノ章〜【がるまに限定特典付き】,GOLD,冬ノ熊肉,2970,2026-01-09,全年齢,ファンタジー / 命令/無理矢理 / 中出し
BJ02322389,朱殷の繭 第二夜 籠鳥恋雲【がるまに限定特典付き】,GOLD,久喜大,2970,2026-01-09,全年齢,ヤクザ/裏社会 / バイオレンス / 命令/無理矢理
